,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_wins,Citizen_games,Mafia_wins,Mafia_games,Sheriff_wins,Sheriff_games,Don_wins,Don_games
1319,Незнайка,0.0,5.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1320,Гражданин,0.0,8.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
1321,filodendron,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1322,Крокодил Гена,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1323,Аллигатор,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1324,Карлита,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1325,Kaiser,1.9,52.0,26.0,2.0,5.0,0.0,4.0,30.0,14.0,8.0,5.0,4.0,1.0,10.0,6.0
1326,Капля,0.2,36.0,18.0,2.0,3.0,0.0,1.0,19.0,11.0,9.0,4.0,1.0,0.0,7.0,3.0
1327,Плаха,0.5,15.0,9.0,0.0,1.0,0.0,0.0,5.0,2.0,9.0,6.0,1.0,1.0,0.0,0.0
1328,Шафран,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
1329,Незлобин,0.0,8.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0
1330,Геката,2.2204460492503,25.0,10.0,2.0,4.0,0.0,1.0,15.0,4.0,7.0,4.0,2.0,2.0,1.0,0.0
1331,Сэм Голд,-0.8,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1332,Вадим,-1.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1333,Тиран,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1334,Сеньор Помидор,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1335,Эльф,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1336,Niko,0.0,73.0,47.0,26.0,9.0,0.0,1.0,49.0,28.0,13.0,11.0,6.0,4.0,5.0,4.0
1337,Бонаква,0.0,55.0,26.0,5.0,7.0,0.0,0.0,34.0,14.0,10.0,4.0,6.0,3.0,5.0,5.0
1338,Тати,0.0,68.0,32.0,8.0,7.0,0.0,4.0,34.0,14.0,15.0,7.0,8.0,5.0,11.0,6.0
1339,Винс,0.0,54.0,31.0,8.0,5.0,1.0,0.0,31.0,18.0,5.0,4.0,5.0,2.0,13.0,7.0
1340,Джоджик,0.0,32.0,16.0,0.0,2.0,0.0,2.0,16.0,9.0,5.0,3.0,8.0,3.0,3.0,1.0
1341,Italia,0.0,36.0,15.0,3.0,1.0,0.0,0.0,23.0,10.0,8.0,3.0,2.0,1.0,3.0,1.0
1342,Vetas,0.0,42.0,17.0,1.0,1.0,0.0,0.0,20.0,5.0,14.0,5.0,5.0,4.0,3.0,3.0
1343,Мари,0.0,37.0,14.0,0.0,0.0,0.0,0.0,21.0,6.0,14.0,6.0,2.0,2.0,0.0,0.0
1344,Дюдюка,0.0,25.0,12.0,0.0,2.0,0.0,0.0,18.0,9.0,3.0,2.0,3.0,1.0,1.0,0.0
1345,Risha,0.0,35.0,23.0,4.0,3.0,0.0,2.0,22.0,16.0,9.0,4.0,2.0,2.0,2.0,1.0
1346,Шама,0.0,32.0,16.0,2.0,3.0,0.0,1.0,17.0,9.0,13.0,6.0,1.0,1.0,1.0,0.0
1347,Вольф,0.0,24.0,11.0,1.0,5.0,2.0,1.0,19.0,9.0,1.0,1.0,2.0,0.0,2.0,1.0
1348,Hanna,0.0,19.0,10.0,1.0,2.0,0.0,0.0,8.0,4.0,6.0,3.0,5.0,3.0,0.0,0.0
1349,Тайм,0.0,29.0,9.0,1.0,3.0,0.0,0.0,17.0,7.0,6.0,1.0,1.0,0.0,5.0,1.0
1350,Кайт,0.0,24.0,11.0,1.0,2.0,0.0,0.0,13.0,5.0,5.0,3.0,2.0,2.0,4.0,1.0
1351,Yuki,0.0,20.0,6.0,0.0,0.0,0.0,0.0,14.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0
1352,Name,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1353,Саньо,0.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1354,Хамик,0.0,6.0,2.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
1355,Косарь,0.0,6.0,3.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1356,Полумуж,0.0,32.0,19.0,7.0,1.0,1.0,0.0,21.0,11.0,2.0,2.0,5.0,2.0,4.0,4.0
1357,Tato,0.0,29.0,12.0,5.0,3.0,0.0,2.0,21.0,10.0,1.0,1.0,4.0,0.0,3.0,1.0
1358,Сью,0.0,7.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1359,Морт,0.0,16.0,8.0,4.0,2.0,0.0,0.0,5.0,3.0,5.0,2.0,2.0,1.0,4.0,2.0
1360,Paradox,0.0,8.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
1361,VOLTER,0.0,8.0,2.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
1362,Summer,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1363,Плановый Гость,0.0,12.0,7.0,0.0,4.0,0.0,0.0,9.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0
1364,Keren,1.1,11.0,5.0,0.0,1.0,0.0,0.0,9.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
1365,Miss Marple,0.05,15.0,8.0,0.0,2.0,0.0,1.0,8.0,4.0,2.0,2.0,1.0,0.0,4.0,2.0
1366,Палитра,0.9,10.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0
1367,Лисицина,0.3,14.0,6.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0
1368,Heisenberg,0.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0
1369,Тали,-0.05,17.0,7.0,0.0,2.0,0.0,1.0,8.0,2.0,4.0,4.0,3.0,1.0,2.0,0.0
1370,Megamag,0.0,12.0,5.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0
1371,Вудблок,-0.3,11.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0
1372,Harry Potter,-0.4,14.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,1.0,3.0,1.0,0.0,0.0
1373,Электрон,-0.1,10.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0
1374,Мелькор,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1375,Mavr,0.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
1376,Джой,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
1377,Українець,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1378,Гамлет,0.25,3.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1379,Largenom,-0.3,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1380,Интуиция,0.0,6.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1381,Фотон,-1.2,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1382,Арчи (Лапша),0.0,67.0,37.0,0.0,1.0,0.0,1.0,42.0,25.0,12.0,5.0,7.0,4.0,6.0,3.0
1383,Мюнхаузен,0.3,59.0,30.0,0.0,4.0,0.0,2.0,35.0,23.0,12.0,3.0,4.0,1.0,8.0,3.0
1384,Физрук,0.0,59.0,36.0,0.0,3.0,0.0,1.0,35.0,20.0,14.0,11.0,5.0,3.0,5.0,2.0
1385,Хорошая,2.0,72.0,33.0,0.0,6.0,1.0,2.0,42.0,21.0,17.0,7.0,7.0,2.0,6.0,3.0
1386,Дон Корлеоне,3.9000000000000004,96.0,53.0,0.0,6.0,0.0,2.0,64.0,35.0,15.0,8.0,6.0,3.0,11.0,7.0
1387,Кассиопея,0.30000000000000004,70.0,40.0,0.0,7.0,1.0,5.0,44.0,27.0,16.0,10.0,4.0,2.0,6.0,1.0
1388,Фродо,1.75,98.0,42.0,0.0,9.0,0.0,1.0,59.0,27.0,15.0,7.0,11.0,4.0,13.0,4.0
1389,Gabsby,1.8499999999999999,107.0,63.0,0.0,6.0,0.0,1.0,64.0,35.0,20.0,12.0,13.0,8.0,10.0,8.0
1390,Хешка,3.3000000000000003,67.0,35.0,0.0,2.0,0.0,0.0,40.0,22.0,11.0,4.0,8.0,4.0,8.0,5.0
1391,Пианист,-0.19999999999999996,83.0,44.0,0.0,5.0,0.0,0.0,44.0,25.0,19.0,10.0,11.0,4.0,9.0,5.0
1392,Князь,-0.15000000000000002,12.0,5.0,0.0,1.0,0.0,1.0,7.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0
1393,ted mosby,2.0500000000000003,72.0,41.0,0.0,10.0,0.0,4.0,47.0,29.0,14.0,6.0,10.0,6.0,1.0,0.0
1394,Light,-0.15000000000000002,65.0,30.0,0.0,4.0,0.0,1.0,40.0,20.0,10.0,4.0,4.0,1.0,11.0,5.0
1395,Corleone,-0.2,25.0,13.0,0.0,1.0,0.0,0.0,15.0,7.0,5.0,3.0,3.0,2.0,2.0,1.0
1396,Тоторо,0.25,37.0,13.0,0.0,5.0,0.0,1.0,24.0,10.0,4.0,1.0,4.0,2.0,5.0,0.0
1397,Психолог,0.0,11.0,7.0,0.0,1.0,0.0,0.0,9.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0
1398,Г-жа Аннушка,0.0,18.0,10.0,0.0,2.0,0.0,0.0,11.0,8.0,4.0,1.0,2.0,1.0,1.0,0.0
1399,Самаева,0.0,7.0,5.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,Маркиз,0.0,12.0,3.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0
1401,ZIG,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1402,Еврей,0.85,46.0,22.0,0.0,5.0,1.0,1.0,25.0,13.0,12.0,6.0,5.0,2.0,4.0,1.0
1403,GAARA,-0.5,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1404,Левша,0.0,12.0,7.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0
1405,Синичкин,0.0,10.0,6.0,0.0,2.0,0.0,0.0,9.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
1406,Шляпница,0.0,12.0,5.0,0.0,1.0,0.0,0.0,7.0,3.0,3.0,1.0,0.0,0.0,2.0,1.0
1407,Эlen,0.0,9.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,0.0
1408,Минерва,-0.4,11.0,5.0,0.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0
1409,Малефисента,0.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1410,Эксцентрик,-0.5,76.0,43.0,0.0,4.0,0.0,0.0,44.0,17.0,13.0,13.0,12.0,9.0,7.0,4.0
1411,Хекс,-0.25,159.0,91.0,0.0,18.0,0.0,8.0,97.0,52.0,32.0,23.0,17.0,8.0,13.0,8.0
1412,Муза,-0.6,100.0,57.0,0.0,14.0,1.0,4.0,59.0,30.0,22.0,15.0,11.0,6.0,8.0,6.0
1413,Гелла,0.0,75.0,36.0,0.0,11.0,1.0,5.0,55.0,26.0,9.0,6.0,5.0,2.0,6.0,2.0
1414,Филадельфия,-1.0,47.0,26.0,0.0,3.0,0.0,1.0,27.0,13.0,14.0,10.0,2.0,1.0,4.0,2.0
1415,Шеф,0.0,44.0,17.0,0.0,2.0,0.0,0.0,31.0,10.0,6.0,3.0,5.0,3.0,2.0,1.0
1416,Гор,-0.25,57.0,17.0,0.0,8.0,0.0,1.0,33.0,8.0,13.0,4.0,3.0,0.0,8.0,5.0
1417,Оригами,0.0,24.0,12.0,0.0,1.0,0.0,0.0,10.0,3.0,10.0,7.0,2.0,0.0,2.0,2.0
1418,Зайка,0.0,37.0,17.0,0.0,1.0,0.0,0.0,21.0,6.0,6.0,3.0,4.0,3.0,6.0,5.0
1419,Джессика,0.0,38.0,19.0,0.0,1.0,0.0,0.0,24.0,11.0,7.0,5.0,3.0,1.0,4.0,2.0
1420,Арти,0.25,48.0,15.0,0.0,5.0,0.0,2.0,33.0,10.0,6.0,1.0,4.0,1.0,5.0,3.0
1421,Светозар,-0.5,14.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0
1422,Хороший,-0.75,37.0,14.0,0.0,1.0,0.0,0.0,23.0,7.0,10.0,5.0,3.0,2.0,1.0,0.0
1423,Баст,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
