,Game_result,Citizen,Mafia,Don,Sheriff
0,мафия,"['Ginger', 'Benjamin', 'Хохольчик', 'Персик', 'Аниморф', 'Snow']","['Дор', 'Frank']",Марта,Шершень
1,мафия,"['Одиннадцатый', 'Setti', 'Персик', 'Benjamin', 'Frank', 'Snow']","['Дор', 'Аниморф']",Хохольчик,Шершень
2,город,"['Ginger', 'Mr. Pibb', 'Snow', 'Frank', 'Гармония', 'Шершень']","['Хохольчик', 'Персик']",Марта,D.O.N.S.
3,город,"['Frank', 'Багряный', 'Benjamin', 'Анархия', 'Шершень', 'Доктор Ливси']","['Кельтас', 'Гармония']",Snow,Setti
4,город,"['Snow', 'Дор', 'Ginger', 'Анархия', 'Гармония', 'Багряный']","['Одиннадцатый', 'Setti']",Шершень,Night
5,мафия,"['Benjamin', 'Snow', 'Анархия', 'Гармония', 'Setti', 'Кельтас']","['Багряный', 'Lynch']",Frank,Night
6,город,"['Вольфрам', 'Flash', 'Mr. Pibb', 'Человек', 'Анархия', 'Arty']","['Дор', 'Lynch']",Ginger,Benjamin
7,город,"['Анархия', 'Гость', 'Абрам', 'Гармония', 'Benjamin', 'Кельтас']","['Дор', 'Одиннадцатый']",Ятна,Setti
8,город,"['Марта', 'Ginger', 'Snow', 'Гармония', 'Дор', 'Гость']","['Ятна', 'Абрам']",Анархия,Benjamin
9,мафия,"['Snow', 'Анархия', 'Ятна', 'Гармония', 'Lynch', '']","['Ginger', 'Хохольчик']",Абрам,Setti
10,мафия,"['Коннор', 'Scorp', 'Джина', 'Fake', 'Arty', 'Хохольчик']","['Кукла', 'Змей']",Frank,Марта
11,город,"['Хохольчик', 'Mr. Pibb', 'Frank', 'Змей', 'Персик', 'Джина']","['Коннор', 'Ботаник']",Fake,Марта
12,мафия,"['Змей', 'Марта', 'Хохольчик', 'Джина', 'Frank', 'Персик']","['Fake', 'Ботаник']",Snow,Коннор
13,мафия,"['Коннор', 'Одиннадцатый', 'Гармония', 'Змей', 'Шершень', 'Snow']","['Анархия', 'Setti']",Гость,Benjamin
14,город,"['Snow', 'Гармония', 'Setti', 'Ginger', 'Benjamin', 'Анархия']","['Гость', 'Дор']",Одиннадцатый,Шершень
15,город,"['Гармония', 'Mr. Pibb', 'Анархия', 'Snow', 'Flash', 'Коннор']","['Кира', 'Хохольчик']",Lynch,Шершень
16,мафия,"['Багряный', 'Кира', 'Lynch', 'Flash', 'Snow', 'Шершень']","['Коннор', 'Анархия']",Хохольчик,Гармония
17,мафия,"['Хохольчик', 'Шершень', 'Гость', 'Mr. Pibb', 'Кира', 'Гармония']","['Flash', 'Дор']",Анархия,Benjamin
18,мафия,"['Гость', 'Гармония', 'Дор', 'Lynch', 'Анархия', 'Чикаго']","['Benjamin', 'Night']",Хохольчик,Snow
19,город,"['Чикаго', 'Гость', 'Snow', 'Night', 'Анархия', 'Хохольчик']","['Lynch', 'Ginger']",Гармония,Ice
20,город,"['Lawliet', 'Ятна', 'Flash', 'Benjamin', 'Setti', 'Анархия']","['Вольфрам', 'Шершень']",Гость,Гость
21,город,"['Flash', 'Вольфрам', 'Гармония', 'Ginger', 'Lawliet', 'Анархия']","['Гость', 'Шершень']",Snow,Ятна
22,мафия,"['Setti', 'Шершень', 'Гармония', 'Вольфрам', 'Lawliet', 'Ятна']","['Benjamin', 'Flash']",Snow,Ginger
23,мафия,"['Trevery', 'Марта', 'Хохольчик', 'Snow', 'Багряный', 'Одиннадцатый']","['Анархия', 'Сарказм']",Ginger,Дор
24,мафия,"['Багряный', 'Дор', 'Марта', 'Benjamin', 'Гармония', 'Анархия']","['Snow', 'Trevery']",Сарказм,Хохольчик
25,мафия,"['Benjamin', 'Хохольчик', 'Аниморф', 'Анархия', 'Lynch', 'Ятна']","['Абрам', 'Trevery']",Марта,Сарказм
26,мафия,"['Benjamin', 'Персик', 'Setti', 'Змей', 'Дор', 'Lynch']","['Лача', 'Snow']",Кельтас,Ginger
27,мафия,"['Benjamin', 'Персик', 'Setti', 'Snow', 'Гармония', 'Ginger']","['Lynch', 'Абрам']",Дор,Как так
28,мафия,"['Lynch', 'Гармония', 'Ginger', 'Персик', 'Benjamin', 'Snow']","['Дор', 'Абрам']",Марта,Как так
29,мафия,"['Snow', 'Flash', 'Дор', 'Змей', 'Шершень', 'Lynch']","['Frank', 'Коннор']",Марта,Одиннадцатый
30,мафия,"['Frank', 'Snow', 'Arty', 'Шершень', 'Лача', 'Коннор']","['Flash', 'Дор']",Lynch,Гармония
31,город,"['Шершень', 'Lynch', 'Snow', 'Дор', 'Одиннадцатый', 'Коннор']","['Лача', 'Frank']",Flash,Гармония
32,мафия,"['Snow', 'Кельтас', 'Коннор', 'Гармония', 'Багряный', 'Анархия']","['Персик', 'Fake']",Лача,Ice
33,мафия,"['Анархия', 'Fake', 'Кельтас', 'Гармония', 'Benjamin', 'Персик']","['Коннор', 'Snow']",Багряный,Setti
34,мафия,"['Шершень', 'Benjamin', 'Night', 'Хохольчик', 'Snow', 'Одиннадцатый']","['Ginger', 'Arty']",Анархия,Сакура
35,мафия,"['Хохольчик', 'Змей', 'Ginger', 'Анархия', 'Одиннадцатый', 'Night']","['Benjamin', 'Snow']",Кельтас,Шершень
36,город,"['Night', 'Snow', 'Хохольчик', 'Шершень', 'Анархия', 'Одиннадцатый']","['Змей', 'Сакура']",Кельтас,Arty
37,город,"['Сакура', 'Персик', 'Гармония', 'Лача', 'Шершень', 'Benjamin']","['Сарказм', 'Абрам']",Snow,Анархия
38,мафия,"['Дор', 'Benjamin', 'Гармония', 'Хохольчик', 'Персик', 'Шершень']","['Анархия', 'Лача']",Сарказм,Ятна
39,мафия,"['Lynch', 'Ice', 'Шершень', 'Малыш', 'Анархия', 'Night']","['Benjamin', 'Гармония']",Одиннадцатый,Fake
40,мафия,"['Шершень', 'Одиннадцатый', 'Лача', 'Малыш', 'Night', 'Lynch']","['Ginger', 'Анархия']",Аниморф,Гармония
41,мафия,"['Одиннадцатый', 'Benjamin', 'Лача', 'Аниморф', 'Night', 'Lynch']","['Гармония', 'Анархия']",Малыш,Абрам
42,город,"['Trevery', 'Амахонда', 'Flash', 'Анархия', 'Гость', 'Персик']","['Шершень', 'Вольфрам']",Snow,Полицейский
43,город,"['Гость', 'Амахонда', 'Анархия', 'Шершень', 'Полицейский', 'Flash']","['Персик', 'Хохольчик']",Вольфрам,Trevery
44,город,"['Шершень', 'Trevery', 'Хохольчик', 'Flash', 'Персик', 'Snow']","['Вольфрам', 'Гость']",Полицейский,Анархия
45,мафия,"['Малыш', 'Frank', 'Snow', 'Хохольчик', 'Lynch', 'Анархия']","['Амахонда', 'Дор']",Полицейский,Night
46,город,"['Night', 'Дор', 'Setti', 'Полицейский', 'Хохольчик', 'Малыш']","['Абрам', 'Амахонда']",Аниморф,Benjamin
47,город,"['Абрам', 'Аниморф', 'Полицейский', 'Night', 'Амахонда', 'Анархия']","['Frank', 'Snow']",Марта,Малыш
48,город,"['Марта', 'Полицейский', 'Ятна', 'Абрам', 'Змей', 'Гармония']","['Хохольчик', 'Сарказм']",Frank,Дор
49,мафия,"['Fake', 'Коннор', 'Snow', 'Setti', 'Шершень', 'Кукла']","['D.O.N.S.', 'Персик']",Ice,Багряный
50,мафия,"['Хохольчик', 'Шершень', 'Дор', 'Benjamin', 'Багряный', 'Сарказм']","['Полицейский', 'Абрам']",Персик,Марта
51,город,"['Персик', 'Setti', 'Абрам', 'D.O.N.S.', 'Snow', 'Ятна']","['Гармония', 'Лача']",Полицейский,Сарказм
52,город,"['Гармония', 'Анархия', 'Frank', 'Одиннадцатый', 'Snow', 'Коннор']","['Шершень', 'Lynch']",Полицейский,Малыш
53,город,"['Малыш', 'Шершень', 'Night', 'Абрам', 'Аниморф', 'Анархия']","['Trevery', 'Полицейский']",Snow,Frank
54,город,"['Одиннадцатый', 'Аниморф', 'Анархия', 'Trevery', 'Гармония', 'Полицейский']","['Абрам', 'Night']",Lynch,Малыш
55,город,"['Хохольчик', 'Персик', 'Snow', 'Benjamin', 'Шершень', 'Night']","['Коннор', 'Кукла']",Гармония,Ginger
56,мафия,"['Дор', 'Сарказм', 'Snow', 'Frank', 'Анархия', 'Полицейский']","['Амахонда', 'Малыш']",Гармония,Lynch
57,город,"['Night', 'Гармония', 'Кельтас', 'Амахонда', 'Малыш', 'Benjamin']","['Марта', 'Сарказм']",Дор,Полицейский
58,мафия,"['Frank', 'Сарказм', 'Night', 'Snow', 'Малыш', 'Benjamin']","['Аниморф', 'Полицейский']",Марта,Шершень
59,город,"['Snow', 'Ятна', 'Шершень', 'Анархия', 'Малыш', 'Сарказм']","['Одиннадцатый', 'Полицейский']",Benjamin,Дор
60,город,"['Snow', 'Гармония', 'Лача', 'Шершень', 'Сарказм', 'Ginger']","['Малыш', 'Night']",Хохольчик,Полицейский
61,мафия,"['Night', 'Ятна', 'Полицейский', 'Малыш', 'Анархия', 'Дор']","['Benjamin', 'Лача']",Шершень,Сарказм
62,мафия,"['Полицейский', 'Сарказм', 'Гармония', 'Frank', 'Trevery', 'Snow']","['Хохольчик', 'Малыш']",Шершень,Ятна
63,город,"['Ятна', 'Шершень', 'Малыш', 'Trevery', 'Полицейский', 'Сарказм']","['Анархия', 'Frank']",Ginger,Хохольчик
64,мафия,"['Лача', 'Полицейский', 'Гармония', 'Ятна', 'Snow', 'Night']","['Trevery', 'Сарказм']",Малыш,Анархия
65,город,"['Flash', 'Benjamin', 'Лача', 'Snow', 'Хохольчик', 'Персик']","['Вольфрам', 'Frank']",Шершень,Гармония
66,город,"['Fake', 'Гармония', 'Вольфрам', 'Flash', 'Frank', 'Ginger']","['Хохольчик', 'Персик']",Snow,Шершень
67,город,"['Frank', 'Flash', 'Шершень', 'Персик', 'Гармония', 'Хохольчик']","['Вольфрам', 'Fake']",Snow,Benjamin
68,город,"['Малыш', 'Benjamin', 'Одиннадцатый', 'Arty', 'Fake', 'Хохольчик']","['Frank', 'Шершень']",Snow,Лача
69,город,"['Одиннадцатый', 'Малыш', 'Полицейский', 'Ginger', 'Benjamin', 'Хохольчик']","['Frank', 'Snow']",Абрам,Шершень
70,город,"['Lynch', 'Night', 'Малыш', 'Абрам', 'Полицейский', 'Шершень']","['Frank', 'Хохольчик']",Fake,Snow
71,мафия,"['Дор', 'Night', 'Гармония', 'Лача', 'Абрам', 'Ятна']","['Lynch', 'Сарказм']",Ginger,Персик
72,мафия,"['Кельтас', 'Night', 'Персик', 'Benjamin', 'Гармония', 'Lynch']","['Ятна', 'Лача']",Абрам,Сарказм
73,город,"['Ятна', 'Benjamin', 'Персик', 'Night', 'Сарказм', 'Гармония']","['Абрам', 'Lynch']",Ginger,Коннор
74,мафия,"['Одиннадцатый', 'Ginger', 'Абрам', 'Snow', 'Lynch', 'Анархия']","['Марта', 'Малыш']",Лача,Шершень
75,мафия,"['Snow', 'Абрам', 'Полицейский', 'Benjamin', 'Trevery', 'Малыш']","['Анархия', 'Frank']",Night,Марта
76,город,"['Benjamin', 'Хохольчик', 'Шершень', 'Frank', 'Snow', 'Анархия']","['Trevery', 'Абрам']",Марта,Малыш
77,город,"['Персик', 'Arty', 'Frank', 'Абрам', 'Snow', 'Benjamin']","['Сарказм', 'Lynch']",Кельтас,Анархия
78,город,"['Анархия', 'Абрам', 'Персик', 'Frank', 'Ginger', 'Кельтас']","['Snow', 'Benjamin']",Lynch,Сарказм
79,город,"['Setti', 'Полицейский', 'Snow', 'Frank', 'Малыш', 'Trevery']","['Lucky', 'Гость']",Анархия,Шершень
80,город,"['Марта', 'Полицейский', 'Малыш', 'Шершень', 'Гармония', 'Trevery']","['Lucky', 'Гость']",Гость,Анархия
81,мафия,"['Полицейский', 'Аниморф', 'Benjamin', 'Lucky', 'Trevery', 'Snow']","['Гость', 'Lynch']",Setti,Малыш
82,город,"['D.O.N.S.', 'Lynch', 'Дор', 'Малыш', 'Кукла', 'Ботаник']","['Ginger', 'Марта']",Frank,Mr. Pibb
83,мафия,"['Setti', 'Benjamin', 'Fake', 'Mr. Pibb', 'D.O.N.S.', 'Lynch']","['Ботаник', 'Frank']",Малыш,Коломбо
84,мафия,"['Mr. Pibb', 'Кукла', 'Frank', 'Fake', 'Lynch', 'Ginger']","['Марта', 'Ботаник']",D.O.N.S.,Дор
85,мафия,"['Чикаго', 'Гость', 'Полицейский', 'Trevery', 'Frank', 'Night']","['Snow', 'Анархия']",Benjamin,Гармония
86,мафия,"['Чикаго', 'Гость', 'Анархия', 'Setti', 'Trevery', 'Frank']","['Полицейский', 'Benjamin']",Snow,Гармония
87,город,"['Ginger', 'Гость', 'Setti', 'Малыш', 'Анархия', 'Полицейский']","['Benjamin', 'Одиннадцатый']",Frank,Night
88,мафия,"['Benjamin', 'Гармония', 'Кельтас', 'Малыш', 'Trevery', 'Лача']","['Полицейский', 'Анархия']",Марта,Night
89,мафия,"['Анархия', 'Полицейский', 'Малыш', 'Arty', 'Trevery', 'Frank']","['Snow', 'Setti']",Лача,Benjamin
90,город,"['Night', 'Snow', 'Марта', 'Полицейский', 'Малыш', 'Анархия']","['Гармония', 'Frank']",Trevery,Кельтас
91,мафия,"['Анархия', 'Snow', 'Trevery', 'Малыш', 'Setti', 'Шершень']","['Полицейский', 'Чикаго']",Mr. Pibb,Benjamin
92,мафия,"['Trevery', 'Шершень', 'Snow', 'Одиннадцатый', 'Benjamin', 'Малыш']","['Полицейский', 'Анархия']",Марта,Гармония
93,город,"['Полицейский', 'Frank', 'Анархия', 'Чикаго', 'Гармония', 'Trevery']","['Snow', 'Малыш']",Setti,Night
94,город,"['Гармония', 'Benjamin', 'Персик', 'Шершень', 'Lynch', 'Полицейский']","['Коломбо', 'Анархия']",Марта,Ginger
95,мафия,"['Шершень', 'Setti', 'Lynch', 'Гармония', 'Night', 'Mr. Pibb']","['Benjamin', 'Персик']",Полицейский,Анархия
96,город,"['Гармония', 'Лача', 'Полицейский', 'Benjamin', 'Персик', 'Шершень']","['Lynch', 'Марта']",Анархия,Mr. Pibb
97,мафия,"['Lynch', 'Setti', 'Персик', 'Полицейский', 'Benjamin', 'Анархия']","['Night', 'Шершень']",Гармония,Ginger
98,город,"['Марта', 'Джипси', 'Гармония', 'Benjamin', 'Night', 'Малыш']","['Trevery', 'Лача']",Полицейский,Анархия
99,мафия,"['Марта', 'Trevery', 'Малыш', 'Гармония', 'Benjamin', 'Полицейский']","['Джипси', 'Лача']",Анархия,Шершень
100,мафия,"['Одиннадцатый', 'Setti', 'Малыш', 'Полицейский', 'Шершень', 'Анархия']","['Benjamin', 'Гармония']",Лача,Lynch
101,город,"['Адик', 'Ginger', 'Benjamin', 'Setti', 'Сарказм', 'Гармония']","['Ятна', 'Чикаго']",Кира,Кельтас
102,мафия,"['Ginger', 'Кира', 'Чикаго', 'Benjamin', 'Сарказм', 'Ятна']","['Ice', 'Setti']",Mr. Pibb,Гармония
103,мафия,"['Ginger', 'Гармония', 'Гость', 'Марта', 'Кира', 'Ятна']","['Benjamin', 'Mr. Pibb']",Сарказм,Кельтас
104,мафия,"['Анархия', 'Лача', 'Гармония', 'Гость', 'Малыш', 'Полицейский']","['Персик', 'Марта']",Night,Benjamin
105,мафия,"['Benjamin', 'Малыш', 'Персик', 'Гармония', 'Шершень', 'Гость']","['Анархия', 'Марта']",Полицейский,Лача
106,город,"['Лача', 'Полицейский', 'Персик', 'Малыш', 'Frank', 'Шершень']","['Гармония', 'Night']",Setti,Анархия
107,мафия,"['Полицейский', 'Шершень', 'Малыш', 'Персик', 'Гармония', 'Trevery']","['Борщ', 'Марта']",Lynch,Frank
108,мафия,"['Марта', 'Борщ', 'Mr. Pibb', 'Гармония', 'Night', 'Персик']","['Полицейский', 'Шершень']",Малыш,Trevery
109,город,"['Ginger', 'Коломбо', 'Анархия', 'Файна', 'Lucky', 'Персик']","['Кельтас', 'Snow']",Benjamin,Гость
110,мафия,"['Night', 'Snow', 'Benjamin', 'Воля', 'Lucky', 'Mr. Pibb']","['Ginger', 'Файна']",Анархия,Персик
111,мафия,"['Воля', 'Кельтас', 'Ginger', 'Snow', 'Benjamin', 'Анархия']","['Mr. Pibb', 'Night']",Гость,Персик
112,мафия,"['Night', 'Шершень', 'Полицейский', 'Персик', 'Анархия', 'Борщ']","['Trevery', 'Марта']",Одиннадцатый,Snow
113,мафия,"['Шершень', 'Полицейский', 'Trevery', 'Персик', 'Snow', 'Гость']","['D.O.N.S.', 'Setti']",Анархия,Одиннадцатый
114,мафия,"['Марта', 'Персик', 'Night', 'Snow', 'Борщ', 'Lynch']","['Анархия', 'Trevery']",Полицейский,Гость
115,мафия,"['НикитыЧ', 'Коннор', 'Мортал', 'Cardinal', 'Dan Dan', 'Адик']","['Spectre', 'Змей']",Рати,Кельтас
116,город,"['Lu绿', 'Заноза', 'Ice', 'Змей', 'Адик', 'Кукла']","['Lightman', 'Гость']",Dan Dan,Человек
117,мафия,"['Mr. Pibb', 'Гость', 'Dan Dan', 'Змей', 'Коломбо', 'vipzonet']","['Ириска', 'Коннор']",Spectre,Lu绿
118,город,"['Коннор', 'Адик', 'Стимул', 'Коломбо', 'vipzonet', 'Человек']","['Lu绿', 'Кукла']",GoN,Ириска
119,мафия,"['Ice', 'D.O.N.S.', 'Кукла', 'vipzonet', 'Sunset', 'Человек']","['Гость', 'Стимул']",Одиннадцатый,Доктор
120,мафия,"['Игрок', 'Sunset', 'Ириска', 'Доктор', 'vipzonet', 'Lightman']","['Spectre', 'Ashley']",Адик,Гость
121,город,"['Самец', 'Fake', 'Кукла', 'Марта', 'Мортал', 'D.O.N.S.']","['Джина', 'Mr. Pibb']",Человек,Гость
122,город,"['Человек', 'Адик', 'Кукла', 'Одиннадцатый', 'Ice', 'Setti']","['Доктор', 'Dan Dan']",Sunset,Гость
123,мафия,"['Шершень', 'Гармония', 'Spectre', 'Дор', 'Кукла', 'Одиннадцатый']","['Ice', 'D.O.N.S.']",Frank,Лайм
124,город,"['Змей', 'Гость', 'Дор', 'Одиннадцатый', 'Dan Dan', 'Ника']","['Arty', 'Кукла']",Багряный,Шершень
125,мафия,"['Стимул', 'Dan Dan', 'Кельтас', 'Lynch', 'Mr. Pibb', 'Коннор']","['Змей', 'Джина']",Адик,Дор
126,мафия,"['Адик', 'Lynch', 'Энай', 'Джина', 'Коннор', 'Стимул']","['Ice', 'Дор']",Змей,Mr. Pibb
127,город,"['Lynch', 'Дор', 'Человек', 'Коннор', 'Энай', 'Адик']","['Змей', 'Джина']",Mr. Pibb,Ice
128,мафия,"['Кукла', 'Night', 'Одиннадцатый', 'Ice', 'Человек', 'Мортал']","['Дор', 'Arty']",Sunset,Lynch
129,город,"['Arty', 'Джина', 'Кукла', 'Стимул', 'Cardinal', 'D.O.N.S.']","['Mr. Pibb', 'Sunset']",Lynch,Змей
130,мафия,"['Ice', 'Кукла', 'D.O.N.S.', 'Cardinal', 'Шершень', 'Адик']","['Dan Dan', 'Дор']",Rize,Одиннадцатый
131,город,"['Night', 'Ice', 'Дор', 'Гармония', 'Шершень', 'Кукла']","['Багряный', 'Cardinal']",Lynch,Одиннадцатый
132,мафия,"['Sher', 'Вольфрам', 'Адик', 'НикитыЧ', 'Человек', 'Дор']","['Lynch', 'Кукла']",Flash,Cardinal
133,мафия,"['Человек', 'Ice', 'Lynch', 'Кукла', 'НикитыЧ', 'Cardinal']","['Вольфрам', 'Flash']",Mr. Pibb,Дор
134,мафия,"['Лайм', 'Cardinal', 'Кукла', 'НикитыЧ', 'Mr. Pibb', 'Benjamin']","['Lynch', 'Мортал']",Человек,vipzonet
135,мафия,"['Пряник', 'Fake', 'Человек', 'Ice', 'Lynch', 'Arty']","['Стимул', 'Кукла']",Хохольчик,Марта
136,мафия,"['Lynch', 'MiG15-bis', 'Змей', 'Arty', 'Пряник', '']","['vipzonet', 'Fake']",Стимул,Ashley
137,мафия,"['Кукла', 'Ириска', 'Ice', 'Марта', 'Адик', 'Дор']","['Mr. Pibb', 'Sunset']",Коннор,Змей
138,мафия,"['Хохольчик', 'Ashley', 'GoN', 'Fake', 'Мортал', 'Гармония']","['Коннор', 'Snow']",Scorp,Чикаго
139,мафия,"['Ashley', 'Гость', 'Змей', 'Snow', 'Sunset', 'Ириска']","['Хохольчик', 'Fake']",Адик,Мортал
140,город,"['Ashley', 'Змей', 'D.O.N.S.', 'Ice', 'Sher', 'Рати']","['Дор', 'Стимул']",Шпилька,Мортал
141,мафия,"['Рати', 'Дин', 'Ice', 'D.O.N.S.', 'Гармония', 'Мортал']","['Шпилька', 'Sunset']",Ashley,GoN
142,город,"['Коннор', 'Ashley', 'Ice', 'Шпилька', 'Адик', 'Гармония']","['Персик', 'Мортал']",Стимул,Sher
143,город,"['Одиннадцатый', 'Frank', 'Arty', 'Ice', 'Гармония', 'Змей']","['Коннор', 'Человек']",GoN,Sunset
144,мафия,"['Ice', 'Snow', 'Хохольчик', 'Одиннадцатый', 'GoN', 'Sunset']","['Arty', 'Кукла']",Каменских,Scorp
145,мафия,"['Arty', 'Lu绿', 'Sher', 'Адик', 'Кукла', 'Человек']","['Sunset', 'Стимул']",Scorp,Ashley
146,мафия,"['Setti', 'Кукла', 'Scorp', 'Мортал', 'Sunset', 'Человек']","['Mr. Pibb', 'Sher']",Lu绿,Адик
147,город,"['Одиннадцатый', 'Ice', 'Гармония', 'НикитыЧ', 'Стимул', 'Snow']","['Кукла', 'vipzonet']",Ashley,Игрок
148,мафия,"['Багряный', 'Гость', 'vipzonet', 'Кукла', 'Стимул', 'Шершень']","['Scorp', 'Каменских']",Lynch,Змей
149,мафия,"['Кира', 'Дор', 'Ice', 'Воля', 'Ashley', 'Змей']","['Гость', 'Багряный']",Кукла,Mr. Pibb
150,город,"['Адик', 'Кукла', 'vipzonet', 'Лайм', 'Стимул', 'Scorp']","['Гармония', 'Ashley']",Lynch,Коннор
151,мафия,"['Человек', 'Night', 'Кукла', 'Lynch', 'Хохольчик', 'Snow']","['Ice', 'Benjamin']",Дор,Анархия
152,мафия,"['Fake', 'Mr. Pibb', 'Мортал', 'Кукла', 'Человек', 'Лайм']","['Sova', 'Адик']",Ginger,Шпилька
153,город,"['Mr. Pibb', 'Fake', 'Sova', 'Шпилька', 'Мортал', 'Адик']","['Доктор', 'Кукла']",Сталкер,Лайм
154,мафия,"['Хохольчик', 'Гармония', 'Адик', 'Мортал', 'Night', 'Кукла']","['Ice', 'Лайм']",Чикаго,Lynch
155,мафия,"['Одиннадцатый', 'Гармония', 'Lynch', 'Мортал', 'Sova', 'Человек']","['Игрок', 'Fake']",Стимул,Ice
156,город,"['Одиннадцатый', 'Кукла', 'Fake', 'Ice', 'Lynch', 'Sova']","['Гость', 'Каменских']",Гость,Адик
157,мафия,"['Гармония', 'Гость', 'Адик', 'GoN', 'Lynch', 'Lawliet']","['Дин', 'Setti']",Sova,Кукла
158,мафия,"['Гармония', 'Маркиза', 'Arty', 'Стимул', 'Адик', 'Сталкер']","['Ice', 'НикитыЧ']",Fake,Человек
159,город,"['Arty', 'Ice', 'Стимул', 'Маркиза', 'Человек', 'Сталкер']","['vipzonet', 'НикитыЧ']",Лайм,Fake
160,мафия,"['Arty', 'Змей', 'Лайм', 'Ginger', 'Адик', 'Сталкер']","['Одиннадцатый', 'Дор']",НикитыЧ,Tamerlan
161,город,"['Гармония', 'Snow', 'Адик', 'Ice', 'Trevery', 'Одиннадцатый']","['Хохольчик', 'Багряный']",Человек,Абрам
162,мафия,"['Аниморф', 'Маркиза', 'Каменских', 'Стимул', 'Сталкер', 'Мортал']","['GoN', 'Lynch']",Fake,Марта
163,мафия,"['Доктор', 'Lynch', 'Кукла', 'Сталкер', 'Мортал', 'Ashley']","['НикитыЧ', 'GoN']",Fake,Одиннадцатый
164,мафия,"['Адик', 'Кукла', 'НикитыЧ', 'Игрок', 'Гость', 'Марта']","['Мортал', 'Шпилька']",Fake,Стимул
165,мафия,"['Ася', 'Маркиза', 'Мортал', 'Ice', 'Шпилька', 'Мадемуазель']","['НикитыЧ', 'Ириска']",Кукла,Змей
166,мафия,"['Адик', 'Гость', 'Sova', 'GoN', 'Fake', 'Марта']","['Кукла', 'НикитыЧ']",Ashley,Ботаник
167,мафия,"['Мадемуазель', 'Одиннадцатый', 'Sova', 'Абрам', 'Адик', 'vipzonet']","['Марта', 'Кукла']",Ириска,Игрок
168,город,"['Snow', 'Dan Dan', 'Гармония', 'Spectre', 'Lynch', 'Мортал']","['Шпилька', 'Джина']",Ashley,Ginger
169,мафия,"['Fake', 'Адик', 'Mr. Pibb', 'Игрок', 'Человек', 'Каменских']","['Мортал', 'Одиннадцатый']",Ice,Кукла
170,мафия,"['Fake', 'Человек', 'Заноза', 'Кукла', 'vipzonet', 'Адик']","['НикитыЧ', 'Игрок']",Arty,Setti
171,город,"['Fake', 'Mr. Pibb', 'Кукла', 'vipzonet', 'Шпилька', 'Мортал']","['Ice', 'Игрок']",НикитыЧ,Человек
172,мафия,"['Mr. Pibb', 'Fake', 'vipzonet', 'Ashley', 'Шпилька', 'Ice']","['Мортал', 'Одиннадцатый']",GoN,Snow
173,город,"['Snow', 'Гость', 'Плюшка', 'Сталкер', 'Лача', 'Stay']","['Человек', 'Lynch']",Дор,Ботаник
174,город,"['Шершень', 'Кукла', 'Игрок', 'Lynch', 'Гармония', 'Frank']","['Arty', 'Адик']",НикитыЧ,Ириска
175,город,"['Мадемуазель', 'GoN', 'Коломбо', 'Setti', 'Коннор', 'Каменских']","['Гость', 'Snow']",Forsir,Персик
176,мафия,"['Сталкер', 'Игрок', 'Каменских', 'Человек', 'Коннор', 'Гость']","['Персик', 'GoN']",Мортал,Гость
177,мафия,"['Коннор', 'Человек', 'Гармония', 'Коломбо', 'GoN', 'Игрок']","['Кукла', 'Fake']",Шпилька,Дин
178,мафия,"['Гость', 'Персик', 'Мортал', 'Forsir', 'Ася', 'Сталкер']","['Sher', 'Анархия']",Лайм,Мадемуазель
179,мафия,"['Ася', 'GoN', 'Мортал', 'Fake', 'Шпилька', 'Кукла']","['Коннор', 'Гость']",Кельтас,Гармония
180,мафия,"['НикитыЧ', 'Коннор', 'Маркиза', 'Шпилька', 'Мортал', 'Scorp']","['Ice', 'Кукла']",Лайм,vipzonet
181,город,"['Шпилька', 'Мортал', 'Маркиза', 'Scorp', 'Кукла', 'Стимул']","['НикитыЧ', 'Каменских']",vipzonet,Змей
182,город,"['Шпилька', 'Мортал', 'Маркиза', 'Scorp', 'Кукла', 'Стимул']","['НикитыЧ', 'Каменских']",vipzonet,Змей
183,мафия,"['Ice', 'Мортал', 'vipzonet', 'Лайм', 'GoN', 'Маркиза']","['Tamerlan', 'Scorp']",Коннор,Шпилька
184,мафия,"['Хохольчик', 'Одиннадцатый', 'Scorp', 'Tamerlan', 'Маркиза', 'Snow']","['GoN', 'Шершень']",Кукла,Стимул
185,мафия,"['Шпилька', 'Змей', 'Forsir', 'vipzonet', 'Лайм', 'Мортал']","['Arty', 'Коннор']",Ashley,Night
186,город,"['Мортал', 'Scorp', 'Шершень', 'Ashley', 'Кукла', 'Змей']","['Night', 'Сталкер']",Коннор,Маркиза
187,город,"['Хохольчик', 'Snow', 'Лайм', 'vipzonet', 'GoN', 'Стимул']","['Tamerlan', 'НикитыЧ']",Шпилька,Ice
188,город,"['Ginger', 'Fake', 'Cardinal', 'Человек', 'Lu绿', 'Хохольчик']","['Мортал', 'Ice']",Дон Ган,Ятна
189,мафия,"['Кукла', 'Человек', 'Змей', 'Lu绿', 'Шпилька', 'Стимул']","['Дор', 'Сталкер']",Scorp,Дон Ган
190,мафия,"['Benjamin', 'Мортал', 'Коннор', 'Гость', 'Ginger', 'НикитыЧ']","['Fake', 'Ice']",Маркиза,Кельтас
