,Game_result,Citizen,Mafia,Don,Sheriff
6035,город,"['Гость', 'Мэк', 'Хирург', 'Gera', 'Гость', 'Гость']","['Гость', 'Zhuchikboss']",Гость,Гость
6036,город,"['Гость', 'Гость', 'Гость', 'Гость', 'Гость', 'Zhuchikboss']","['Гость', 'Гость']",Куаныш,Мандаринка
6037,мафия,"['Гость', 'Jane', 'Хирург', 'г-н BRO', 'Gera', 'Гость']","['Гость', '633']",MAJOR(SILVER),Zhuchikboss
6038,мафия,"['Мандаринка', 'Филолог', 'Гость', 'г-н BRO', 'Ruleezzz', 'Король']","['Гость', 'Куаныш']",Хирург,Gera
6039,мафия,"['Zhuchikboss', 'Гость', 'Гость', 'Гость', 'Jane', 'Ruleezzz']","['Хирург', 'Король']",Филолог,Гость
6040,мафия,"['Король', 'Zhuchikboss', 'Sauron', 'Гость', 'Филолог', 'Гость']","['Гость', 'Jane']",Мэк,Анзорик
6041,мафия,"['г-н BRO', 'Ruleezzz', '633', 'Гость', 'Мандаринка', 'Шкипер']","['Гость', 'KIRA']",Гость,Jane
6042,мафия,"['Филолог', 'г-н BRO', 'Гость', 'Мэк', 'Мандаринка', 'Гость']","['Jane', '633']",Король,KIRA
6043,мафия,"['Ruleezzz', 'Анзорик', 'Zhuchikboss', 'г-н BRO', '633', 'Гость']","['Филолог', 'Гость']",MAJOR(SILVER),KIRA
6044,город,"['Ruleezzz', 'Анзорик', 'Zhuchikboss', 'Гость', 'Мандаринка', 'Филолог']","['Мэк', 'Король']",Гость,633
6045,мафия,"['Гость', 'Куаныш', 'Мандаринка', 'Шкипер', 'Хирург', 'Zhuchikboss']","['MAJOR(SILVER)', 'Sauron']",Ruleezzz,Король
6046,мафия,"['Гость', 'Куаныш', 'Мандаринка', 'Шкипер', 'Хирург', 'Zhuchikboss']","['MAJOR(SILVER)', 'Sauron']",Ruleezzz,Король
6047,мафия,"['Шкипер', 'Куаныш', 'Zhuchikboss', 'г-н BRO', 'Sauron', 'Jane']","['MAJOR(SILVER)', 'Мандаринка']",KIRA,Олки
6048,город,"['Sauron', 'Мэк', 'Гость', 'MAJOR(SILVER)', 'г-н BRO', 'Шкипер']","['Хирург', 'Jane']",Олки,Куаныш
6049,мафия,"['Куаныш', 'Гость', 'Гость', 'Мэк', 'KIRA', 'Sauron']","['Олки', 'Мандаринка']",Хирург,Шкипер
6050,город,"['Куаныш', 'Мандаринка', 'Sauron', 'Олки', 'KIRA', 'Шкипер']","['Гость', 'Хирург']",Гость,Мэк
6051,город,"['Гость', 'Гость', 'Гость', 'STARK', 'Гость', 'Куаныш']","['Бакшот', 'Филолог']",Qasqyr,Гость
6052,мафия,"['Гость', 'Гость', 'Гость', 'Гость', 'Гость', 'Куаныш']","['Филолог', 'Шкипер']",Гость,Мэк
6053,мафия,"['Шкипер', 'Гость', 'KIRA', 'Jane', 'Гость', 'Куаныш']","['г-н BRO', 'STARK']",MAJOR(SILVER),Олки
6054,мафия,"['Гость', 'Шкипер', 'STARK', 'Олки', 'Хирург', 'Jane']","['г-н BRO', 'Филолог']",KIRA,MAJOR(SILVER)
6055,мафия,"['Шкипер', 'Гость', 'Мэк', 'KIRA', 'Филолог', 'Куаныш']","['Гость', 'Олки']",Гость,MAJOR(SILVER)
6056,город,"['Гость', 'Хирург', 'KIRA', 'Гость', 'Мэк', 'Куаныш']","['STARK', 'Шкипер']",Гость,Олки
6057,мафия,"['Гость', 'Бакшот', 'Филолог', 'Лока', 'Jane', 'Хирург']","['Sauron', 'MAJOR(SILVER)']",Олки,Гость
6058,город,"['Олки', 'Гость', 'Мэк', 'Гость', '633', 'Хирург']","['Гость', 'Бакшот']",Лока,Филолог
6059,мафия,"['Филолог', 'Гость', 'Лока', 'Олки', 'Гость', 'Бакшот']","['633', 'Гость']",Мэк,Хирург
6060,мафия,"['Гость', 'Zhuchikboss', 'Шкипер', 'KIRA', 'Гость', 'Лока']","['Куаныш', 'Гость']",Мэк,Король
6061,мафия,"['Гость', 'KIRA', 'Zhuchikboss', 'Куаныш', 'MAJOR(SILVER)', 'Гость']","['Шкипер', 'Гость']",Король,Лока
6062,город,"['Куаныш', 'Sauron', 'Гость', 'Гость', 'Олки', 'Zhuchikboss']","['Jane', 'г-н BRO']",Гость,Гость
6063,город,"['Гость', '633', 'KIRA', 'Зубр', 'Гость', 'Мэк']","['Sauron', 'Мандаринка']",Король,Гость
6064,город,"['Гость', 'Гость', 'KIRA', 'Гость', 'Король', 'Гость']","['Zhuchikboss', '633']",г-н BRO,Зубр
6065,город,"['Гость', 'STARK', 'Zhuchikboss', '633', 'KIRA', 'Мэк']","['Sauron', 'Мандаринка']",Шкипер,Гость
6066,мафия,"['Гость', 'Лока', 'Гость', 'Sauron', 'Гость', 'Zhuchikboss']","['Гость', 'Гость']",Шкипер,Гость
6067,мафия,"['Куаныш', 'Гость', 'Король', 'Гость', 'Лока', 'Гость']","['Гость', 'MAJOR(SILVER)']",Гость,Sauron
6068,город,"['633', 'Гость', 'Гость', 'Гость', 'Лока', 'Шкипер']","['Гость', 'Гость']",Хирург,Гость
