,Name,Bonus,Games,Wins,MVP,First_blood,Last_word_3,Last_word_2,Citizen_games,Citizen_wins,Mafia_games,Mafia_wins,Sheriff_games,Sheriff_wins,Don_games,Don_wins
1256,Honey,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1257,Бакшот,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1258,БРОНКС,0.0,80.0,43.0,0.0,4.0,0.0,1.0,47.0,24.0,12.0,7.0,14.0,7.0,7.0,5.0
1259,Наполеон,0.25,40.0,24.0,0.0,1.0,0.0,1.0,21.0,12.0,12.0,7.0,2.0,0.0,5.0,5.0
1260,Юрия,0.0,115.0,56.0,0.0,10.0,0.0,4.0,63.0,25.0,21.0,11.0,11.0,6.0,20.0,14.0
1261,Магистр,0.0,38.0,18.0,0.0,4.0,0.0,1.0,22.0,9.0,8.0,5.0,5.0,3.0,3.0,1.0
1262,Мишка Гамми,0.0,66.0,28.0,0.0,7.0,0.0,1.0,45.0,21.0,10.0,3.0,7.0,2.0,4.0,2.0
1263,Юстас,0.0,57.0,31.0,0.0,4.0,0.0,1.0,37.0,17.0,13.0,9.0,6.0,4.0,1.0,1.0
1264,Мишка,0.0,50.0,24.0,0.0,7.0,0.0,2.0,31.0,13.0,6.0,5.0,4.0,2.0,9.0,4.0
1265,Оркестр,0.0,94.0,42.0,0.0,4.0,0.0,1.0,56.0,20.0,20.0,10.0,8.0,5.0,10.0,7.0
1266,Инженер,1.0,89.0,42.0,0.0,10.0,1.0,5.0,54.0,18.0,16.0,11.0,13.0,9.0,6.0,4.0
1267,Правда,0.0,23.0,9.0,0.0,1.0,0.0,0.0,16.0,6.0,3.0,1.0,2.0,0.0,2.0,2.0
1268,Феликс,0.5,116.0,52.0,0.0,10.0,1.0,2.0,66.0,26.0,21.0,15.0,15.0,5.0,14.0,6.0
1269,BonAqua,0.0,102.0,38.0,0.0,8.0,0.0,3.0,62.0,22.0,27.0,12.0,7.0,3.0,6.0,1.0
1270,Мишок,0.0,11.0,8.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0
1271,Зефирка,0.0,33.0,18.0,0.0,1.0,0.0,0.0,15.0,9.0,10.0,7.0,7.0,2.0,1.0,0.0
1272,Вертинский,0.0,37.0,20.0,0.0,3.0,0.0,0.0,19.0,10.0,8.0,5.0,5.0,2.0,5.0,3.0
1273,Руфер,0.0,16.0,9.0,0.0,3.0,0.0,1.0,10.0,5.0,1.0,1.0,4.0,3.0,1.0,0.0
1274,Кот,0.0,29.0,15.0,0.0,4.0,0.0,0.0,16.0,9.0,9.0,5.0,4.0,1.0,0.0,0.0
1275,Маг,0.0,40.0,19.0,0.0,4.0,0.0,1.0,28.0,10.0,6.0,5.0,4.0,2.0,2.0,2.0
1276,Химик,0.0,15.0,8.0,0.0,3.0,0.0,1.0,9.0,4.0,2.0,1.0,0.0,0.0,4.0,3.0
1277,Механизатор,0.0,37.0,17.0,0.0,2.0,0.0,1.0,22.0,8.0,5.0,3.0,4.0,1.0,6.0,5.0
1278,Мироманка,0.25,28.0,12.0,0.0,3.0,0.0,2.0,20.0,9.0,5.0,3.0,3.0,0.0,0.0,0.0
1279,Nester,0.0,10.0,3.0,0.0,1.0,0.0,0.0,5.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0
1280,Бильбо,0.25,28.0,10.0,0.0,4.0,0.0,1.0,20.0,6.0,7.0,3.0,0.0,0.0,1.0,1.0
1281,Блондинка,0.0,26.0,14.0,0.0,2.0,0.0,0.0,16.0,9.0,3.0,2.0,5.0,1.0,2.0,2.0
1282,Наркоманка,0.0,18.0,9.0,0.0,4.0,0.0,1.0,14.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0
1283,Шер,0.25,18.0,9.0,0.0,2.0,0.0,2.0,16.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0
1284,Светлячок,0.0,13.0,8.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0
1285,Почеши меня за ушком,0.0,32.0,12.0,0.0,2.0,0.0,0.0,16.0,6.0,4.0,2.0,3.0,1.0,9.0,3.0
1286,Afer1st,0.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0
1287,DOCtoR,1.0,32.0,21.0,0.0,4.0,1.0,3.0,16.0,12.0,4.0,4.0,6.0,1.0,6.0,4.0
1288,Paolo,0.0,12.0,6.0,0.0,1.0,0.0,0.0,8.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0
1289,Diamond21,0.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
1290,Maximus,0.0,14.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,5.0,2.0,1.0,1.0,1.0
1291,Мосби,0.0,15.0,9.0,0.0,1.0,0.0,1.0,8.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0
1292,Chashka,0.0,22.0,7.0,0.0,2.0,0.0,0.0,14.0,5.0,4.0,2.0,2.0,0.0,2.0,0.0
1293,Степашка,0.0,34.0,16.0,0.0,1.0,0.0,0.0,18.0,6.0,5.0,3.0,4.0,3.0,7.0,4.0
1294,Номерок,0.0,22.0,6.0,0.0,2.0,0.0,0.0,12.0,3.0,3.0,1.0,5.0,1.0,2.0,1.0
1295,Лобода,0.0,24.0,12.0,0.0,1.0,0.0,1.0,13.0,7.0,4.0,1.0,5.0,2.0,2.0,2.0
1296,Анабель,0.0,13.0,6.0,0.0,1.0,0.0,0.0,10.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0
1297,Savitar,0.0,16.0,6.0,0.0,1.0,0.0,0.0,11.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0
1298,Чиж,0.0,28.0,16.0,0.0,2.0,0.0,0.0,17.0,10.0,7.0,3.0,3.0,2.0,1.0,1.0
1299,Стрекоза,0.0,33.0,9.0,0.0,2.0,0.0,0.0,23.0,5.0,5.0,3.0,4.0,1.0,1.0,0.0
1300,Хранитель,0.0,8.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
1301,ДНК,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,Искра,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1303,Таварес,0.0,6.0,4.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0
1304,Агроном,0.0,12.0,7.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0
1305,Фриц,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1306,Балтика,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1307,SKY,0.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1308,Бонита,0.0,12.0,6.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0
1309,Монашка,0.0,26.0,12.0,0.0,2.0,0.0,1.0,16.0,8.0,4.0,2.0,3.0,0.0,3.0,2.0
1310,Qdesnik,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1311,Змея,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1312,Джонс,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
1313,Саид,0.0,50.0,23.0,0.0,4.0,0.0,0.0,28.0,13.0,12.0,7.0,3.0,0.0,7.0,3.0
1314,Мориарти,0.0,9.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
1315,Странник,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1316,Burning,0.25,20.0,10.0,0.0,3.0,0.0,1.0,14.0,9.0,2.0,0.0,1.0,0.0,3.0,1.0
1317,Г-жа Элли,0.0,13.0,4.0,0.0,1.0,0.0,0.0,8.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0
1318,ГОГИ,0.0,29.0,11.0,0.0,2.0,0.0,1.0,18.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0
1319,35,0.0,7.0,6.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0
1320,YOUNG,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1321,Самаритянка,0.0,14.0,7.0,0.0,2.0,0.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0
1322,Добрячок,0.0,9.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
1323,Karamelka,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,Кей,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
